False_Positive_Rate,True_Positive_Rate
0.0,0.0
0.0,0.0006176652254478073
0.0,0.033353922174181594
0.00014795088030773783,0.033353922174181594
0.00014795088030773783,0.04694255713403336
0.00014795088030773783,0.04879555281037678
0.00014795088030773783,0.05003088326127239
0.00029590176061547566,0.05003088326127239
0.00029590176061547566,0.06176652254478073
0.00029590176061547566,0.06300185299567634
0.00029590176061547566,0.07041383570105003
0.00029590176061547566,0.07164916615194565
0.00029590176061547566,0.07782581840642372
0.00029590176061547566,0.07967881408276714
0.00029590176061547566,0.08214947498455837
0.00029590176061547566,0.08338480543545398
0.00029590176061547566,0.1099444101297097
0.0004438526409232135,0.1099444101297097
0.0004438526409232135,0.12909203211859172
0.0004438526409232135,0.13032736256948735
0.0004438526409232135,0.13094502779493514
0.0004438526409232135,0.13218035824583077
0.0004438526409232135,0.13341568869672638
0.0007397544015386891,0.13341568869672638
0.0007397544015386891,0.1432983323038913
0.000887705281846427,0.1432983323038913
0.000887705281846427,0.1445336627547869
0.000887705281846427,0.1457689932056825
0.000887705281846427,0.16615194564546015
0.000887705281846427,0.16738727609635579
0.000887705281846427,0.17418159357628166
0.001035656162154165,0.17418159357628166
0.001035656162154165,0.17603458925262508
0.0011836070424619026,0.17603458925262508
0.0011836070424619026,0.19209388511426806
0.0011836070424619026,0.1945645460160593
0.0011836070424619026,0.1957998764669549
0.0013315579227696406,0.1957998764669549
0.0013315579227696406,0.2025941939468808
0.0014795088030773783,0.2025941939468808
0.0014795088030773783,0.2038295243977764
0.0016274596833851162,0.2038295243977764
0.0016274596833851162,0.21371216800494133
0.001775410563692854,0.21371216800494133
0.001775410563692854,0.21741815935762818
0.0019233614440005919,0.21741815935762818
0.0019233614440005919,0.23780111179740582
0.00207131232430833,0.23780111179740582
0.00207131232430833,0.2458307597282273
0.0022192632046160675,0.2458307597282273
0.0022192632046160675,0.24891908585546635
0.0023672140849238053,0.24891908585546635
0.0023672140849238053,0.25880172946263125
0.002515164965231543,0.25880172946263125
0.002515164965231543,0.2625077208153181
0.002515164965231543,0.2637430512662137
0.002515164965231543,0.2680667078443484
0.002663115845539281,0.2680667078443484
0.002663115845539281,0.2705373687461396
0.002811066725847019,0.2705373687461396
0.002811066725847019,0.29215565163681284
0.002811066725847019,0.2933909820877085
0.002811066725847019,0.2940086473131563
0.0029590176061547566,0.2940086473131563
0.0029590176061547566,0.2983323038912909
0.0032549193667702325,0.2983323038912909
0.0032549193667702325,0.3119209388511427
0.00340287024707797,0.3125386040765905
0.00340287024707797,0.3150092649783817
0.003550821127385708,0.3150092649783817
0.003550821127385708,0.33539221741815933
0.0036987720076934456,0.33539221741815933
0.0036987720076934456,0.33662754786905497
0.0038467228880011838,0.33662754786905497
0.0038467228880011838,0.35701050030883263
0.0039946737683089215,0.35701050030883263
0.0039946737683089215,0.3576281655342804
0.00414262464861666,0.3576281655342804
0.00414262464861666,0.36133415688696724
0.004438526409232135,0.36133415688696724
0.004438526409232135,0.37677578752316243
0.004586477289539872,0.37677578752316243
0.004586477289539872,0.3841877702285361
0.0047344281698476105,0.3841877702285361
0.0047344281698476105,0.3885114268066708
0.004882379050155349,0.3885114268066708
0.004882379050155349,0.3915997529339098
0.005030329930463086,0.3915997529339098
0.005030329930463086,0.39468807906114883
0.005178280810770824,0.39468807906114883
0.005178280810770824,0.3977764051883879
0.005326231691078562,0.3977764051883879
0.005326231691078562,0.4002470660901791
0.0054741825713862996,0.4002470660901791
0.0054741825713862996,0.4064237183446572
0.005770084332001775,0.4064237183446572
0.005770084332001775,0.4224830142063002
0.005918035212309513,0.4224830142063002
0.005918035212309513,0.4237183446571958
0.006065986092617251,0.4237183446571958
0.006065986092617251,0.4249536751080914
0.006213936972924989,0.4249536751080914
0.006213936972924989,0.42680667078443485
0.006213936972924989,0.42742433600988267
0.006361887853232727,0.42742433600988267
0.006361887853232727,0.4311303273625695
0.006509838733540465,0.4311303273625695
0.006509838733540465,0.43174799258801727
0.006657789613848202,0.43174799258801727
0.006657789613848202,0.4329833230389129
0.00680574049415594,0.4329833230389129
0.00680574049415594,0.43607164916615193
0.006953691374463678,0.43607164916615193
0.006953691374463678,0.4385423100679432
0.007101642254771416,0.4385423100679432
0.007101642254771416,0.4434836318715256
0.007249593135079154,0.4434836318715256
0.007249593135079154,0.44410129709697344
0.007397544015386891,0.44410129709697344
0.007397544015386891,0.44533662754786907
0.007545494895694629,0.44533662754786907
0.007545494895694629,0.4508956145768993
0.0076934457760023675,0.4508956145768993
0.0076934457760023675,0.45521927115503397
0.007841396656310106,0.45521927115503397
0.007841396656310106,0.4558369363804818
0.007989347536617843,0.4558369363804818
0.007989347536617843,0.4576899320568252
0.00813729841692558,0.4576899320568252
0.00813729841692558,0.4589252625077208
0.00828524929723332,0.4589252625077208
0.00828524929723332,0.46016059295861644
0.008433200177541057,0.46016059295861644
0.008433200177541057,0.461395923409512
0.008581151057848794,0.461395923409512
0.008581151057848794,0.46263125386040765
0.008729101938156533,0.46263125386040765
0.008729101938156533,0.4644842495367511
0.00887705281846427,0.4644842495367511
0.00887705281846427,0.46757257566399013
0.009025003698772007,0.46757257566399013
0.009025003698772007,0.47066090179122916
0.009172954579079745,0.47066090179122916
0.009172954579079745,0.474366893143916
0.009320905459387484,0.474366893143916
0.009320905459387484,0.4749845583693638
0.009468856339695221,0.4749845583693638
0.009468856339695221,0.4793082149474985
0.009912708980618435,0.4793082149474985
0.009912708980618435,0.48054354539839406
0.010060659860926172,0.48054354539839406
0.010060659860926172,0.4836318715256331
0.010208610741233911,0.4836318715256331
0.010208610741233911,0.4842495367510809
0.010356561621541648,0.4842495367510809
0.010356561621541648,0.48548486720197653
0.010652463382157125,0.48548486720197653
0.010652463382157125,0.48672019765287217
0.010800414262464862,0.48672019765287217
0.010800414262464862,0.49104385423100677
0.010948365142772599,0.49104385423100677
0.010948365142772599,0.4972205064854849
0.011096316023080338,0.4972205064854849
0.011096316023080338,0.4978381717109327
0.011244266903388075,0.4978381717109327
0.011244266903388075,0.5033971587399629
0.011392217783695813,0.5033971587399629
0.011392217783695813,0.506485484867202
0.012131972185234503,0.506485484867202
0.012131972185234503,0.5101914762198888
0.01227992306554224,0.5101914762198888
0.01227992306554224,0.515750463248919
0.012427873945849977,0.515750463248919
0.012427873945849977,0.5169857936998147
0.012575824826157716,0.5169857936998147
0.012575824826157716,0.5206917850525016
0.01287172658677319,0.5206917850525016
0.01287172658677319,0.5225447807288449
0.01301967746708093,0.5225447807288449
0.01301967746708093,0.5237801111797405
0.013315579227696404,0.5237801111797405
0.013315579227696404,0.5250154416306362
0.013463530108004143,0.5250154416306362
0.013463530108004143,0.5287214329833231
0.01361148098831188,0.5287214329833231
0.01361148098831188,0.535515750463249
0.013759431868619618,0.535515750463249
0.013759431868619618,0.5367510809141446
0.014203284509542832,0.5367510809141446
0.014203284509542832,0.5373687461395923
0.014647137150466045,0.5373687461395923
0.014647137150466045,0.5410747374922792
0.014795088030773782,0.5410747374922792
0.014795088030773782,0.5423100679431748
0.014943038911081521,0.5423100679431748
0.014943038911081521,0.5435453983940705
0.015090989791389259,0.5435453983940705
0.015090989791389259,0.5460160592958616
0.015238940671696996,0.5460160592958616
0.015238940671696996,0.5509573810994441
0.015386891552004735,0.5509573810994441
0.015386891552004735,0.5528103767757875
0.015978695073235686,0.5528103767757875
0.015978695073235686,0.5552810376775787
0.016126645953543423,0.5552810376775787
0.016126645953543423,0.5571340333539222
0.01627459683385116,0.5571340333539222
0.01627459683385116,0.5583693638048178
0.016422547714158898,0.5583693638048178
0.016422547714158898,0.5589870290302656
0.01657049859446664,0.5589870290302656
0.01657049859446664,0.5620753551575046
0.016718449474774376,0.5620753551575046
0.016718449474774376,0.5639283508338481
0.016866400355082113,0.5639283508338481
0.016866400355082113,0.5676343421865349
0.017162302115697588,0.5676343421865349
0.017162302115697588,0.5719579987646696
0.017458203876313066,0.5719579987646696
0.017458203876313066,0.5731933292155652
0.017606154756620803,0.5731933292155652
0.017606154756620803,0.5756639901173564
0.01775410563692854,0.5756639901173564
0.01775410563692854,0.5762816553428042
0.017902056517236278,0.5762816553428042
0.017902056517236278,0.576899320568252
0.018050007397544015,0.576899320568252
0.018050007397544015,0.5799876466954911
0.018197958277851752,0.5799876466954911
0.018197958277851752,0.5806053119209389
0.01834590915815949,0.5806053119209389
0.01834590915815949,0.5818406423718344
0.01849386003846723,0.5818406423718344
0.01849386003846723,0.58307597282273
0.018789761799082705,0.58307597282273
0.018789761799082705,0.5849289684990735
0.018937712679390442,0.5849289684990735
0.018937712679390442,0.5855466337245213
0.01908566355969818,0.5855466337245213
0.01908566355969818,0.5886349598517604
0.019233614440005917,0.5886349598517604
0.019233614440005917,0.5898702903026559
0.019381565320313657,0.5898702903026559
0.019381565320313657,0.5904879555281037
0.019677467080929132,0.5904879555281037
0.019677467080929132,0.5923409512044472
0.01982541796123687,0.5923409512044472
0.01982541796123687,0.592958616429895
0.02026927060216008,0.592958616429895
0.02026927060216008,0.5935762816553428
0.020417221482467822,0.5935762816553428
0.020417221482467822,0.5960469425571341
0.02056517236277556,0.5960469425571341
0.02056517236277556,0.5966646077825818
0.020713123243083296,0.5966646077825818
0.020713123243083296,0.5997529339098209
0.020861074123391034,0.5997529339098209
0.020861074123391034,0.6003705991352687
0.02115697588400651,0.6003705991352687
0.02115697588400651,0.6096355775169858
0.02174877940523746,0.6096355775169858
0.02174877940523746,0.612106238418777
0.021896730285545198,0.612106238418777
0.021896730285545198,0.6164298949969117
0.022044681165852936,0.6164298949969117
0.022044681165852936,0.6182828906732551
0.022192632046160676,0.6182828906732551
0.022192632046160676,0.6201358863495985
0.022340582926468414,0.6201358863495985
0.022340582926468414,0.6219888820259419
0.02248853380677615,0.6219888820259419
0.02248853380677615,0.6226065472513898
0.022636484687083888,0.6226065472513898
0.022636484687083888,0.6232242124768376
